"","admit","gre","gpa","rank"
"2",1,660,3.67,"3"
"5",0,520,2.93,"4"
"8",0,400,3.08,"2"
"11",0,800,4,"4"
"14",0,700,3.08,"2"
"17",0,780,3.87,"4"
"20",1,540,3.81,"1"
"23",0,600,2.82,"4"
"26",1,800,3.66,"1"
"29",1,780,3.22,"2"
"32",0,760,3.35,"3"
"35",0,360,3.14,"1"
"38",0,520,2.9,"3"
"41",0,560,2.42,"2"
"44",0,500,3.31,"3"
"47",1,580,3.46,"2"
"50",0,400,3.35,"3"
"53",0,740,3.37,"4"
"56",1,740,4,"3"
"59",0,400,3.65,"2"
"62",0,560,3.32,"4"
"65",0,580,4,"3"
"68",0,620,3.3,"1"
"71",0,640,4,"3"
"74",0,580,4,"2"
"77",0,560,3.36,"3"
"80",1,620,4,"1"
"83",0,500,2.71,"2"
"86",0,520,2.98,"2"
"89",0,700,3.28,"1"
"92",1,720,3.64,"1"
"95",1,660,3.44,"2"
"98",0,480,3.57,"2"
"101",0,340,3.15,"3"
"104",0,540,3.94,"3"
"107",1,700,3.56,"1"
"110",0,480,3.45,"2"
"113",0,360,3,"3"
"116",0,620,3.99,"3"
"119",1,800,3.7,"1"
"122",1,480,2.67,"2"
"125",0,720,3.88,"3"
"128",0,740,3.74,"4"
"131",1,620,3.17,"2"
"134",0,500,3.08,"3"
"137",0,560,3.33,"4"
"140",1,600,3.58,"1"
"143",0,620,3.94,"4"
"146",0,380,3.43,"3"
"149",1,480,2.91,"1"
"152",0,400,3.38,"2"
"155",0,620,3.69,"3"
"158",1,480,3.58,"1"
"161",0,600,3.13,"2"
"164",0,520,2.73,"2"
"167",0,440,3.24,"4"
"170",0,600,3.62,"3"
"173",0,680,3.48,"3"
"176",1,620,3.37,"2"
"179",0,620,3.33,"3"
"182",0,500,3.88,"4"
"185",0,500,2.79,"4"
"188",0,580,2.88,"2"
"191",1,640,2.94,"2"
"194",0,380,3.59,"4"
"197",0,660,3.07,"3"
"200",0,580,3.77,"4"
"203",1,700,4,"1"
"206",1,780,3.8,"3"
"209",0,540,3.16,"3"
"212",0,580,3.02,"2"
"215",1,600,3.56,"2"
"218",1,460,3.64,"1"
"221",0,540,3.28,"3"
"224",0,800,3.47,"3"
"227",0,620,3.58,"2"
"230",1,720,3.42,"2"
"233",0,380,3.38,"2"
"236",0,620,3.05,"2"
"239",0,500,2.86,"4"
"242",1,520,3.81,"1"
"245",0,540,3.04,"1"
"248",0,440,3.17,"2"
"251",0,660,3.31,"4"
"254",1,540,3.55,"4"
"257",1,520,3.3,"2"
"260",0,640,3.81,"2"
"263",1,520,3.19,"3"
"266",0,380,3.34,"3"
"269",1,680,3.46,"2"
"272",0,540,3.33,"3"
"275",0,520,3.12,"2"
"278",1,580,3.58,"1"
"281",0,660,3.94,"2"
"284",0,520,3.1,"4"
"287",1,800,3.22,"1"
"290",0,420,2.26,"4"
"293",0,680,3.7,"2"
"296",0,520,3.25,"3"
"299",0,540,3.5,"2"
"302",1,660,3.6,"3"
"305",0,220,2.83,"3"
"308",0,580,3.51,"2"
"311",0,560,4,"3"
"314",1,520,3.65,"4"
"317",1,340,3,"2"
"320",0,540,3.28,"1"
"323",0,500,3.01,"4"
"326",0,680,3.9,"1"
"329",0,580,3.34,"2"
"332",0,660,3.59,"3"
"335",1,460,3.64,"3"
"338",0,620,3.09,"4"
"341",0,500,3.23,"4"
"344",0,580,3.06,"2"
"347",0,600,3.35,"2"
"350",0,620,2.85,"2"
"353",1,580,3.12,"3"
"356",1,760,2.81,"1"
"359",1,560,3.69,"3"
"362",1,540,3.49,"1"
"365",1,560,3.36,"1"
"368",0,620,3.63,"3"
"371",1,540,3.77,"2"
"374",1,620,3.37,"1"
"377",0,620,3.63,"2"
"380",0,540,2.7,"2"
"383",0,540,3.51,"2"
"386",0,420,3.02,"1"
"389",0,640,3.17,"2"
"392",1,660,3.88,"2"
"395",1,460,3.99,"3"
"398",0,460,2.63,"2"
