"","admit","gre","gpa","rank"
"1",0,380,3.61,"3"
"4",1,640,3.19,"4"
"7",1,560,2.98,"1"
"10",0,700,3.92,"2"
"13",1,760,4,"1"
"16",0,480,3.44,"3"
"19",0,800,3.75,"2"
"22",1,660,3.63,"2"
"25",1,760,3.35,"2"
"28",1,520,3.74,"4"
"31",0,540,3.78,"4"
"34",1,800,4,"3"
"37",0,580,3.25,"1"
"40",1,520,2.68,"3"
"43",1,600,3.15,"2"
"46",1,460,3.45,"3"
"49",0,440,2.48,"4"
"52",0,440,3.13,"4"
"55",0,660,3.34,"3"
"58",0,380,2.94,"3"
"61",1,620,3.18,"2"
"64",1,680,3.85,"3"
"67",0,740,3.62,"4"
"70",0,800,3.73,"1"
"73",0,480,3.39,"4"
"76",0,720,4,"3"
"79",0,540,3.12,"1"
"82",0,620,3.07,"2"
"85",1,500,3.6,"3"
"88",0,600,3.48,"2"
"91",0,700,3.83,"2"
"94",0,580,2.93,"2"
"97",0,640,3.52,"4"
"100",0,400,3.31,"3"
"103",0,380,3.33,"4"
"106",1,740,2.97,"2"
"109",0,400,2.93,"3"
"112",0,420,3.41,"4"
"115",0,720,3.84,"3"
"118",0,700,3.72,"2"
"121",1,520,3.74,"2"
"124",0,500,2.98,"3"
"127",1,600,3.54,"1"
"130",0,460,3.15,"4"
"133",0,580,3.4,"2"
"136",0,500,3.57,"3"
"139",0,620,3.4,"2"
"142",1,700,3.52,"4"
"145",0,580,3.4,"4"
"148",0,560,2.71,"3"
"151",1,800,3.74,"1"
"154",0,580,3.46,"3"
"157",0,560,2.52,"2"
"160",0,700,3.82,"3"
"163",1,700,3.56,"2"
"166",0,700,4,"1"
"169",0,500,4,"3"
"172",0,540,2.81,"3"
"175",0,500,3.53,"4"
"178",1,620,3.23,"3"
"181",0,620,3.78,"3"
"184",1,540,3.84,"2"
"187",0,560,3.61,"3"
"190",0,500,3.35,"2"
"193",0,640,3.76,"3"
"196",0,560,3.59,"2"
"199",0,600,3.63,"3"
"202",1,580,3.2,"2"
"205",1,600,3.89,"1"
"208",1,640,3.63,"1"
"211",0,740,3.34,"4"
"214",0,640,3.38,"3"
"217",0,340,2.9,"1"
"220",1,560,3.59,"2"
"223",1,480,3.02,"1"
"226",1,720,3.5,"3"
"229",0,480,3.43,"2"
"232",0,600,3.28,"3"
"235",1,800,3.53,"1"
"238",0,480,4,"2"
"241",0,440,2.76,"2"
"244",0,620,3.22,"2"
"247",0,680,3.34,"2"
"250",0,640,3.73,"3"
"253",1,520,4,"2"
"256",0,640,3.35,"3"
"259",0,520,3.51,"2"
"262",0,440,3.15,"2"
"265",1,520,3.9,"3"
"268",1,600,3.64,"3"
"271",1,640,3.95,"2"
"274",0,660,3.32,"1"
"277",0,460,3.77,"3"
"280",1,660,3.14,"2"
"283",0,660,3.45,"4"
"286",0,600,3.31,"4"
"289",0,800,3.15,"4"
"292",0,800,2.78,"2"
"295",0,480,2.55,"1"
"298",0,460,3.07,"2"
"301",0,640,3.3,"2"
"304",1,680,3.98,"2"
"307",1,540,3.17,"1"
"310",0,440,2.98,"3"
"313",0,660,3.77,"3"
"316",1,300,2.84,"2"
"319",1,480,3.71,"4"
"322",0,460,3.58,"2"
"325",0,520,2.7,"3"
"328",1,560,3.48,"2"
"331",0,740,4,"3"
"334",0,560,3.43,"3"
"337",0,520,3.15,"3"
"340",1,660,3.47,"3"
"343",0,500,3.95,"4"
"346",0,500,3.03,"3"
"349",0,400,3.36,"2"
"352",0,620,3.43,"3"
"355",1,540,3.78,"2"
"358",0,720,3.31,"1"
"361",1,520,4,"1"
"364",0,460,3.44,"2"
"367",0,460,2.93,"3"
"370",0,800,3.89,"2"
"373",1,680,2.42,"1"
"376",0,560,3.49,"4"
"379",0,640,3.12,"3"
"382",1,540,3.49,"2"
"385",1,480,2.62,"2"
"388",0,580,3.36,"2"
"391",1,800,3.05,"2"
"394",1,620,3.75,"2"
"397",0,560,3.04,"3"
"400",0,600,3.89,"3"
